timestamp,year,Game of the Year,Best Independent Game,Best Narrative,Best Art Direction,Best Soundtrack,Best Multiplayer,Best Game Direction
2026-09-10T19:37:44.932498,2025,Partial_CSV_Pick_1789079864258,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:37:45.652966,2025,Full_1789079864967_Game_of_the_Year,Full_1789079864967_Best_Independent_Game,Full_1789079864967_Best_Narrative,Full_1789079864967_Best_Art_Direction,Full_1789079864967_Best_Soundtrack,Full_1789079864967_Best_Multiplayer,Full_1789079864967_Best_Game_Direction
2026-09-10T19:37:56.182472,2025,Clair Obscur: Expedition 33 S2_1789079875771,Blue Prince S2_1789079875771,Silent Hill f S2_1789079875771,Ghost of Yōtei S2_1789079875771,Hades II S2_1789079875771,Arc Raiders S2_1789079875771,Death Stranding 2 S2_1789079875771
2026-09-10T19:37:56.879429,2024,Balatro S3_1789079876214,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789079876214,NaN,NaN
2026-09-10T19:44:18.809041,2025,E2E_GOTY_Pick_1789080258379,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:44:19.194767,2025,Partial_CSV_Pick_1789080258834,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:19.575906,2025,Full_1789080259221_Game_of_the_Year,Full_1789080259221_Best_Independent_Game,Full_1789080259221_Best_Narrative,Full_1789080259221_Best_Art_Direction,Full_1789080259221_Best_Soundtrack,Full_1789080259221_Best_Multiplayer,Full_1789080259221_Best_Game_Direction
2026-09-10T19:44:19.985565,2024,Toggle_1789080259599,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:21.423313,2014,Game2014_1789080261,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:21.440623,2020,Game2020_1789080261,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:21.454334,2025,Game2025_1789080261,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:22.140507,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789080261",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:22.861738,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:23.281391,2025,Roundtrip_1789080262915,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:44:31.282583,2025,Clair Obscur: Expedition 33 S2_1789080270892,Blue Prince S2_1789080270892,Silent Hill f S2_1789080270892,Ghost of Yōtei S2_1789080270892,Hades II S2_1789080270892,Arc Raiders S2_1789080270892,Death Stranding 2 S2_1789080270892
2026-09-10T19:44:31.685601,2024,Balatro S3_1789080271307,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789080271307,NaN,NaN
2026-09-10T19:45:27.345528,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:45:27.731573,2025,TestGame_1789080327368,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:28.109778,2025,CsvTestGame_1789080327749,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:29.519635,2025,PartialNull_1789080328860,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:30.228232,2025,PartialNan_1789080329547,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:30.911487,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:31.299950,2025,FlatSchema_1789080330929,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:34.516133,2025,"TestGame, With Comma 1789080333",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:34.898042,2025,"Game ""Quoted"" 1789080334",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:35.583443,2025,Ghost of Yōtei 1789080334,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:36.313088,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:36.334974,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:36.360123,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:36.377490,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:36.394541,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:37.078683,2025,OneOfSeven_1789080336,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:37.452479,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:45:37.828475,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:38.194163,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:38.548106,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:38.562479,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:39.495462,2025,E2E_GOTY_Pick_1789080339136,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:45:39.860806,2025,Partial_CSV_Pick_1789080339515,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:40.217645,2025,Full_1789080339877_Game_of_the_Year,Full_1789080339877_Best_Independent_Game,Full_1789080339877_Best_Narrative,Full_1789080339877_Best_Art_Direction,Full_1789080339877_Best_Soundtrack,Full_1789080339877_Best_Multiplayer,Full_1789080339877_Best_Game_Direction
2026-09-10T19:45:40.599699,2024,Toggle_1789080340235,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:42.039823,2014,Game2014_1789080341,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:42.085803,2020,Game2020_1789080341,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:42.103931,2025,Game2025_1789080341,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:42.494679,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789080342",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:42.877952,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:43.270488,2025,Roundtrip_1789080342936,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:45:43.661773,2025,Clair Obscur: Expedition 33 S2_1789080343318,Blue Prince S2_1789080343318,Silent Hill f S2_1789080343318,Ghost of Yōtei S2_1789080343318,Hades II S2_1789080343318,Arc Raiders S2_1789080343318,Death Stranding 2 S2_1789080343318
2026-09-10T19:45:44.022866,2024,Balatro S3_1789080343687,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789080343687,NaN,NaN
2026-09-10T19:49:49.132122,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:49:49.853121,2025,TestGame_1789080589162,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:50.240406,2025,CsvTestGame_1789080589880,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:51.990531,2025,PartialNull_1789080591647,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:52.390658,2025,PartialNan_1789080592017,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:52.806768,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:53.194164,2025,FlatSchema_1789080592837,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:56.280612,2025,"TestGame, With Comma 1789080595",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:56.690067,2025,"Game ""Quoted"" 1789080596",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.055532,2025,Ghost of Yōtei 1789080596,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.434617,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.453196,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.479932,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.496613,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.514552,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:57.877612,2025,OneOfSeven_1789080597,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:58.291166,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:49:58.721905,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:59.109204,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:59.474077,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:49:59.510606,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:00.537782,2025,E2E_GOTY_Pick_1789080600177,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:50:00.925339,2025,Partial_CSV_Pick_1789080600559,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:01.329045,2025,Full_1789080600969_Game_of_the_Year,Full_1789080600969_Best_Independent_Game,Full_1789080600969_Best_Narrative,Full_1789080600969_Best_Art_Direction,Full_1789080600969_Best_Soundtrack,Full_1789080600969_Best_Multiplayer,Full_1789080600969_Best_Game_Direction
2026-09-10T19:50:01.758377,2024,Toggle_1789080601371,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:03.205916,2014,Game2014_1789080602,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:03.260580,2020,Game2020_1789080602,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:03.299551,2025,Game2025_1789080602,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:03.686457,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789080603",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:04.143518,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:04.549827,2025,Roundtrip_1789080604212,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:50:04.939615,2025,Clair Obscur: Expedition 33 S2_1789080604598,Blue Prince S2_1789080604598,Silent Hill f S2_1789080604598,Ghost of Yōtei S2_1789080604598,Hades II S2_1789080604598,Arc Raiders S2_1789080604598,Death Stranding 2 S2_1789080604598
2026-09-10T19:50:05.351906,2024,Balatro S3_1789080604971,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789080604971,NaN,NaN
2026-09-10T19:53:16.645442,2025,"TestGame, With Comma 1789080796",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.048739,2025,"Game ""Quoted"" 1789080796",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.450960,2025,Ghost of Yōtei 1789080797,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.891415,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.910136,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.924469,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.940503,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:17.957808,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:18.331241,2025,OneOfSeven_1789080797,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:18.715515,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:53:19.399295,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:20.116530,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:20.520344,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:20.537264,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:28.468361,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:53:29.172518,2025,TestGame_1789080808499,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:29.576199,2025,CsvTestGame_1789080809205,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:30.991907,2025,PartialNull_1789080810325,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:31.431152,2025,PartialNan_1789080811038,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:31.798454,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:32.155996,2025,FlatSchema_1789080811819,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:53:38.238545,2025,Clair Obscur: Expedition 33 S2_1789080817855,Blue Prince S2_1789080817855,Silent Hill f S2_1789080817855,Ghost of Yōtei S2_1789080817855,Hades II S2_1789080817855,Arc Raiders S2_1789080817855,Death Stranding 2 S2_1789080817855
2026-09-10T19:53:38.631559,2024,Balatro S3_1789080818266,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789080818266,NaN,NaN
2026-09-10T19:54:03.490570,2025,E2E_GOTY_Pick_1789080843078,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:54:03.874342,2025,Partial_CSV_Pick_1789080843513,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:04.280964,2025,Full_1789080843905_Game_of_the_Year,Full_1789080843905_Best_Independent_Game,Full_1789080843905_Best_Narrative,Full_1789080843905_Best_Art_Direction,Full_1789080843905_Best_Soundtrack,Full_1789080843905_Best_Multiplayer,Full_1789080843905_Best_Game_Direction
2026-09-10T19:54:04.682966,2024,Toggle_1789080844306,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:06.086749,2014,Game2014_1789080845,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:06.115047,2020,Game2020_1789080845,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:06.136334,2025,Game2025_1789080845,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:06.497744,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789080846",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:06.937627,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:54:07.359609,2025,Roundtrip_1789080847000,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:09.914180,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:56:10.303467,2025,TestGame_1789080969933,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:10.719815,2025,CsvTestGame_1789080970345,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:11.820145,2025,PartialNull_1789080971466,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:12.208856,2025,PartialNan_1789080971846,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:12.570288,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:12.996273,2025,FlatSchema_1789080972626,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:15.622895,2025,"TestGame, With Comma 1789080975",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.032105,2025,"Game ""Quoted"" 1789080975",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.385259,2025,Ghost of Yōtei 1789080976,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.747568,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.771921,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.821263,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.839881,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:16.858699,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:17.241344,2025,OneOfSeven_1789080976,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:17.594238,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:56:17.963515,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:18.350687,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:19.042277,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:19.061158,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:19.968717,2025,E2E_GOTY_Pick_1789080979616,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:56:20.360281,2025,Partial_CSV_Pick_1789080979998,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:20.744341,2025,Full_1789080980383_Game_of_the_Year,Full_1789080980383_Best_Independent_Game,Full_1789080980383_Best_Narrative,Full_1789080980383_Best_Art_Direction,Full_1789080980383_Best_Soundtrack,Full_1789080980383_Best_Multiplayer,Full_1789080980383_Best_Game_Direction
2026-09-10T19:56:21.110537,2024,Toggle_1789080980766,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:22.515140,2014,Game2014_1789080982,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:22.549340,2020,Game2020_1789080982,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:22.568080,2025,Game2025_1789080982,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:23.267523,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789080982",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:23.698930,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:24.108594,2025,Roundtrip_1789080983770,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:56:24.508269,2025,Clair Obscur: Expedition 33 S2_1789080984150,Blue Prince S2_1789080984150,Silent Hill f S2_1789080984150,Ghost of Yōtei S2_1789080984150,Hades II S2_1789080984150,Arc Raiders S2_1789080984150,Death Stranding 2 S2_1789080984150
2026-09-10T19:56:24.872551,2024,Balatro S3_1789080984534,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789080984534,NaN,NaN
2026-09-10T19:57:27.646732,2025,E2E_GOTY_Pick_1789081047266,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:57:28.033289,2025,Partial_CSV_Pick_1789081047677,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:28.420369,2025,Full_1789081048056_Game_of_the_Year,Full_1789081048056_Best_Independent_Game,Full_1789081048056_Best_Narrative,Full_1789081048056_Best_Art_Direction,Full_1789081048056_Best_Soundtrack,Full_1789081048056_Best_Multiplayer,Full_1789081048056_Best_Game_Direction
2026-09-10T19:57:28.822525,2024,Toggle_1789081048456,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:30.209474,2014,Game2014_1789081049,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:30.254992,2020,Game2020_1789081049,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:30.281461,2025,Game2025_1789081049,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:30.672523,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081050",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:31.088888,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:31.483835,2025,Roundtrip_1789081051150,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:37.988308,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:57:38.776790,2025,CsvTestGame_1789081058441,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:39.882466,2025,PartialNull_1789081059527,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:40.234962,2025,PartialNan_1789081059905,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:40.614205,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:41.000508,2025,FlatSchema_1789081060634,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:43.794037,2025,"TestGame, With Comma 1789081063",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:44.193485,2025,"Game ""Quoted"" 1789081063",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:44.559607,2025,Ghost of Yōtei 1789081064,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:44.942548,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:44.963806,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:45.001001,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:45.020257,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:45.062408,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:45.450530,2025,OneOfSeven_1789081065,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:45.823544,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:57:46.211573,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:46.598121,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:46.983572,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:47.005316,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:47.969473,2025,E2E_GOTY_Pick_1789081067580,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:57:48.358204,2025,Partial_CSV_Pick_1789081067993,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:48.745525,2025,Full_1789081068384_Game_of_the_Year,Full_1789081068384_Best_Independent_Game,Full_1789081068384_Best_Narrative,Full_1789081068384_Best_Art_Direction,Full_1789081068384_Best_Soundtrack,Full_1789081068384_Best_Multiplayer,Full_1789081068384_Best_Game_Direction
2026-09-10T19:57:49.138865,2024,Toggle_1789081068774,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:50.485049,2014,Game2014_1789081070,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:50.531808,2020,Game2020_1789081070,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:50.553220,2025,Game2025_1789081070,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:50.948831,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081070",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:51.370741,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:51.781861,2025,Roundtrip_1789081071441,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:52.170068,2025,Clair Obscur: Expedition 33 S2_1789081071824,Blue Prince S2_1789081071824,Silent Hill f S2_1789081071824,Ghost of Yōtei S2_1789081071824,Hades II S2_1789081071824,Arc Raiders S2_1789081071824,Death Stranding 2 S2_1789081071824
2026-09-10T19:57:52.553239,2024,Balatro S3_1789081072196,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081072196,NaN,NaN
2026-09-10T19:57:58.768035,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:57:59.141333,2025,TestGame_1789081078793,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:57:59.502617,2025,CsvTestGame_1789081079166,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:00.623400,2025,PartialNull_1789081080276,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:01.006575,2025,PartialNan_1789081080666,NaN,NaN,NaN,NaN,NaN,NaN
